instance_id,applicable_rules,overrides,incl_max,prediction
663,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
374,"r0","r0 applies|","r0",1
170,"r1","r1 applies|","r1",1
155,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
35,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
607,"r1","r1 applies|","r1",1
455,"r8 r11","r11 applies->r8 applies & overides r11|","r8",1
2,"r11","r11 applies|","r11",0
159,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
261,"r11","r11 applies|","r11",0
387,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
187,"r11","r11 applies|","r11",0
636,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
29,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
209,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
131,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
240,"r11","r11 applies|","r11",0
525,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
275,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
276,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
146,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
600,"r5 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|","r5",1
558,"r1","r1 applies|","r1",1
370,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
357,"r11","r11 applies|","r11",0
381,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
530,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
128,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
52,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
304,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
495,"r0","r0 applies|","r0",1
306,"r11","r11 applies|","r11",0
194,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
383,"r4 r9 r11","r11 applies->r9 applies & overides r11->r4 applies & overides r9|","r4",1
13,"r3 r7 r9 r11","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|","r3",0
523,"r11","r11 applies|","r11",0
647,"r2 r9 r11","r11 applies->r9 applies & overides r11->r2 applies & overides r9|","r2",1
527,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
177,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
40,"r11","r11 applies|","r11",0
328,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
485,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
171,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
698,"r11","r11 applies|","r11",0
513,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
692,"r11","r11 applies|","r11",0
430,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
273,"r11","r11 applies|","r11",0
223,"r0","r0 applies|","r0",1
136,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
105,"r11","r11 applies|","r11",0
593,"r11","r11 applies|","r11",0
467,"r11","r11 applies|","r11",0
609,"r11","r11 applies|","r11",0
142,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
229,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
126,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
21,"r11","r11 applies|","r11",0
25,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
339,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
650,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
140,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
270,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
509,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
53,"r11","r11 applies|","r11",0
520,"r11","r11 applies|","r11",0
54,"r11","r11 applies|","r11",0
17,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
72,"r11","r11 applies|","r11",0
447,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
694,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
572,"r11","r11 applies|","r11",0
175,"r11","r11 applies|","r11",0
510,"r13 r6","r6 applies->r13 applies & overides r6|","r13",0
441,"r11","r11 applies|","r11",0
641,"r1","r1 applies|","r1",1
95,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
436,"r11","r11 applies|","r11",0
217,"r12 r6","r6 applies->r12 applies & overides r6|","r12",0
88,"r11","r11 applies|","r11",0
506,"r2 r9 r11","r11 applies->r9 applies & overides r11->r2 applies & overides r9|","r2",1
