dataset,instance_id,outcome,label_correct,label_violating,applicable_correct,applicable_violating,applicable_only_correct,applicable_only_violating,incl_max_correct,incl_max_violating,support_differs,jaccard_applicable
Mushroom,155,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,159,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,163,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,166,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,171,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,177,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,186,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,194,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,195,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,203,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,209,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,217,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,229,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,270,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,275,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,276,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,295,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,304,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,328,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,339,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,344,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,370,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,372,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,381,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,404,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,410,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,425,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,430,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,447,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,473,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,485,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,497,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,501,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,509,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,510,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,513,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,525,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,527,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,528,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,530,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,535,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,561,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,564,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,573,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,574,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,578,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,601,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,603,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,616,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,633,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,636,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,650,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,655,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,663,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
Mushroom,678,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,679,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,690,disagree,1,0,r6,r13 r6,r6,r13 r6,r6,r13,1,0.0000
Mushroom,694,disagree,1,0,r6,r12 r6,r6,r12 r6,r6,r12,1,0.0000
