instance_id,applicable_rules,overrides,incl_max,prediction
699,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
651,"r1","r1 applies|","r1",1
501,"r6","r6 applies|","r6",1
118,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
382,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
663,"r6","r6 applies|","r6",1
374,"r0","r0 applies|","r0",1
170,"r1","r1 applies|","r1",1
155,"r6","r6 applies|","r6",1
35,"r6","r6 applies|","r6",1
607,"r1","r1 applies|","r1",1
455,"r8 r11 r12","r11 applies->r8 applies & overides r11|r12 applies|","r8",1
2,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
159,"r6","r6 applies|","r6",1
261,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
387,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
187,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
636,"r6","r6 applies|","r6",1
29,"r6","r6 applies|","r6",1
209,"r6","r6 applies|","r6",1
131,"r6","r6 applies|","r6",1
240,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
525,"r6","r6 applies|","r6",1
275,"r6","r6 applies|","r6",1
276,"r6","r6 applies|","r6",1
146,"r6","r6 applies|","r6",1
600,"r5 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r5 applies & overides r7|r12 applies|","r5",1
558,"r1","r1 applies|","r1",1
370,"r6","r6 applies|","r6",1
357,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
381,"r6","r6 applies|","r6",1
530,"r6","r6 applies|","r6",1
128,"r6","r6 applies|","r6",1
52,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
304,"r6","r6 applies|","r6",1
495,"r0","r0 applies|","r0",1
306,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
194,"r6","r6 applies|","r6",1
383,"r4 r9 r11 r12","r11 applies->r9 applies & overides r11->r4 applies & overides r9|r12 applies|","r4",1
13,"r3 r7 r9 r11 r12","r11 applies->r9 applies & overides r11->r7 applies & overides r9->r3 applies & overides r7|r12 applies|","r3",0
523,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
647,"r2 r9 r11 r12","r11 applies->r9 applies & overides r11->r2 applies & overides r9|r12 applies|","r2",1
527,"r6","r6 applies|","r6",1
177,"r6","r6 applies|","r6",1
40,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
328,"r6","r6 applies|","r6",1
485,"r6","r6 applies|","r6",1
171,"r6","r6 applies|","r6",1
698,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
513,"r6","r6 applies|","r6",1
692,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
430,"r6","r6 applies|","r6",1
273,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
223,"r0","r0 applies|","r0",1
136,"r6","r6 applies|","r6",1
105,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
593,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
467,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
609,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
142,"r6","r6 applies|","r6",1
229,"r6","r6 applies|","r6",1
126,"r6","r6 applies|","r6",1
21,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
25,"r6","r6 applies|","r6",1
339,"r6","r6 applies|","r6",1
650,"r6","r6 applies|","r6",1
140,"r6","r6 applies|","r6",1
270,"r6","r6 applies|","r6",1
509,"r6","r6 applies|","r6",1
53,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
520,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
54,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
17,"r6","r6 applies|","r6",1
72,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
447,"r6","r6 applies|","r6",1
694,"r6","r6 applies|","r6",1
572,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
175,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
510,"r6","r6 applies|","r6",1
441,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
641,"r1","r1 applies|","r1",1
95,"r6","r6 applies|","r6",1
436,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
217,"r6","r6 applies|","r6",1
88,"r11 r12","r11 applies|r12 applies|","r11 r12",abstain
506,"r2 r9 r11 r12","r11 applies->r9 applies & overides r11->r2 applies & overides r9|r12 applies|","r2",1
